Rank,Stock,Sector,Price,Change (%),Volume,Score
1,Kaizen Agro Infrabuild Ltd,Consumer Staples,18.28,19.95%,258309,21
2,MSP Steel & Power Ltd,Materials,30.22,9.97%,4378852,15
3,Kotak Mahindra Bank Ltd,Financials,2224.5,3.47%,7526291,10
4,Power Finance Corporation Ltd,Financials,419.8,2.02%,4918959,6
5,India Power Corporation Ltd,Utilities,14.35,3.39%,987515,5
6,Gujarat Industries Power Company Ltd,Utilities,220.76,3.08%,1373162,5
7,Rajesh Power Services Ltd,Industrials,1413.4,4.69%,167400,4
8,Ge Power India Ltd,Industrials,325.15,2.7%,1034128,3
9,Kcl Infra Projects Ltd,Industrials,1.45,2.84%,156271,3
